stock,top5_buyers,top5_sellers,net_volume,daily_summary
TINS,"• YU | 123.9k | 40.36bio | Avg: 3.257 | Bandar
• BB | 58.3k | 18.64bio | Avg: 3.196 | Mix
• NI | 30.7k | 9.76bio | Avg: 3.177 | Bandar
• ZP | 25.0k | 7.80bio | Avg: 3.119 | Bandar
• PD | 24.3k | 7.48bio | Avg: 3.080 | Mix","• AK | 71.8k | 22.83bio | Avg: 3.178 | Bandar
• DR | 63.7k | 20.29bio | Avg: 3.186 | Retail
• BK | 59.6k | 19.28bio | Avg: 3.235 | Bandar
• OD | 52.0k | 16.83bio | Avg: 3.236 | Bandar
• CC | 28.6k | 9.10bio | Avg: 3.181 | Mix",-13521,"Buyer: Bandar 69%, Seller: Bandar 67%"
TOWR,"• KK | 42.9k | 2.25bio | Avg: 525 | Bandar
• YP | 35.7k | 1.82bio | Avg: 510 | Mix
• MG | 31.4k | 1.61bio | Avg: 512 | Mix
• RG | 26.0k | 1.37bio | Avg: 527 | Bandar
• YU | 20.8k | 1.06bio | Avg: 511 | Bandar","• ZP | 67.3k | 3.42bio | Avg: 508 | Bandar
• AK | 61.2k | 3.13bio | Avg: 512 | Bandar
• XL | 34.4k | 1.75bio | Avg: 509 | Retail
• LG | 30.9k | 1.63bio | Avg: 527 | Bandar
• CC | 27.4k | 1.37bio | Avg: 501 | Mix",-64367,"Buyer: Bandar 57%, Seller: Bandar 72%"
TRIS,"• PD | 4.3k | 74.18mio | Avg: 172 | Mix
• KK | 3.6k | 60.84mio | Avg: 169 | Bandar
• OD | 573 | 10.20mio | Avg: 178 | Bandar","• XL | 7.2k | 119.54mio | Avg: 166 | Retail
• TF | 39 | 639.60k | Avg: 164 | Retail
• YB | 5 | 90.00k | Retail
• ZR | 5 | 84.00k | Avg: 168 | Bandar
• BR | 5 | 80.50k | Avg: 161 | Bandar",1231,"Buyer: Mix 51%, Seller: Retail 100%"
UNIC,• KK | 59 | 55.58mio | Avg: 9.420 | Bandar,• XL | 36 | 33.87mio | Avg: 9.408 | Retail,23,"Buyer: Bandar 100%, Seller: Retail 100%"
ULTJ,"• AH | 51.4k | 7.36bio | Avg: 1.432 | Bandar
• KZ | 19.9k | 2.90bio | Avg: 1.457 | Mix
• AT | 6.8k | 986.10mio | Avg: 1.457 | Bandar
• GR | 5.8k | 831.73mio | Avg: 1.436 | Bandar
• ZP | 1.6k | 230.01mio | Avg: 1.453 | Bandar","• BK | 18.1k | 2.63bio | Avg: 1.454 | Bandar
• DP | 15.9k | 2.32bio | Avg: 1.460 | Bandar
• LG | 10.5k | 1.48bio | Avg: 1.411 | Bandar
• XL | 8.5k | 1.22bio | Avg: 1.433 | Retail
• KK | 7.3k | 1.05bio | Avg: 1.431 | Bandar",25162,"Buyer: Bandar 77%, Seller: Bandar 86%"
WEHA,"• CC | 13.7k | 162.67mio | Avg: 119 | Mix
• ZP | 6.3k | 72.89mio | Avg: 115 | Bandar
• AF | 6.0k | 70.20mio | Avg: 117 | Retail
• KI | 4.9k | 60.54mio | Avg: 123 | Bandar
• GI | 3.5k | 41.30mio | Avg: 118 | Bandar","• XL | 27.2k | 315.13mio | Avg: 116 | Retail
• DX | 3.5k | 42.14mio | Avg: 119 | Bandar
• SQ | 2.0k | 24.41mio | Avg: 125 | Bandar
• GR | 1.9k | 21.24mio | Avg: 114 | Bandar
• CD | 1.6k | 19.24mio | Avg: 120 | Bandar",-1696,"Buyer: Bandar 43%, Seller: Retail 75%"
WINS,"• NI | 84.6k | 4.45bio | Avg: 526 | Bandar
• KZ | 16.8k | 826.91mio | Avg: 493 | Mix
• AO | 7.7k | 375.19mio | Avg: 490 | Bandar
• KK | 1.6k | 79.96mio | Avg: 508 | Bandar
• SQ | 1.3k | 65.32mio | Avg: 499 | Bandar","• EP | 39.2k | 2.06bio | Avg: 526 | Mix
• YP | 18.7k | 945.31mio | Avg: 505 | Mix
• XL | 16.9k | 842.16mio | Avg: 499 | Retail
• CC | 8.7k | 450.30mio | Avg: 518 | Mix
• BK | 5.2k | 271.65mio | Avg: 521 | Bandar",23150,"Buyer: Bandar 85%, Seller: Mix 75%"
POWR,"• LG | 26.3k | 1.84bio | Avg: 699 | Bandar
• CC | 23.3k | 1.63bio | Avg: 697 | Mix
• XA | 6.9k | 486.22mio | Avg: 700 | Bandar
• YP | 5.8k | 404.64mio | Avg: 693 | Mix
• PD | 5.6k | 387.04mio | Avg: 694 | Mix","• NI | 39.4k | 2.75bio | Avg: 698 | Bandar
• OD | 12.0k | 834.97mio | Avg: 695 | Bandar
• YU | 7.3k | 509.61mio | Avg: 698 | Bandar
• AI | 6.4k | 446.85mio | Avg: 697 | Bandar
• KK | 2.7k | 191.81mio | Avg: 698 | Bandar",54,"Buyer: Mix 51%, Seller: Bandar 100%"
ZINC,"• PD | 35.8k | 136.17mio | Avg: 38 | Mix
• OK | 30.0k | 114.00mio | Avg: 38 | Retail
• LG | 24.7k | 93.98mio | Avg: 38 | Bandar
• AT | 23.0k | 87.40mio | Avg: 38 | Bandar
• MG | 21.0k | 79.80mio | Avg: 38 | Mix","• XL | 118.9k | 451.86mio | Avg: 38 | Retail
• YP | 32.0k | 121.75mio | Avg: 38 | Mix
• XC | 21.1k | 80.26mio | Avg: 38 | Retail
• SQ | 12.3k | 46.84mio | Avg: 38 | Bandar
• GR | 4.8k | 18.09mio | Avg: 38 | Bandar",-54590,"Buyer: Mix 42%, Seller: Retail 74%"
MORA,"• YU | 14.6k | 19.42bio | Avg: 13.313 | Bandar
• CC | 1.3k | 1.57bio | Avg: 11.700 | Mix
• SQ | 1.1k | 1.32bio | Avg: 11.519 | Bandar
• CP | 620 | 730.67mio | Avg: 11.785 | Mix
• OD | 365 | 419.24mio | Avg: 11.486 | Bandar","• MG | 5.4k | 6.23bio | Avg: 11.610 | Mix
• AI | 3.3k | 4.17bio | Avg: 12.681 | Bandar
• DP | 3.5k | 3.98bio | Avg: 11.425 | Bandar
• PD | 2.3k | 2.72bio | Avg: 11.939 | Mix
• IF | 1.7k | 1.91bio | Avg: 11.481 | Mix",1996,"Buyer: Bandar 89%, Seller: Mix 58%"
